Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,NASDAQ Symbol,NextShares,Financial Status Clean,CQS Symbol Clean
Y,AEM,Agnico Eagle Mines Limited Common Stock,N, ,N,100.0,N,AEM,N,Non-NASDAQ,AEM
Y,AEMD,"Aethlon Medical, Inc. - Common Stock",Q,S,N,100.0,N,AEMD,N,NASDAQ - Normal,Not Reported
Y,AEO,"American Eagle Outfitters, Inc. Common Stock",N, ,N,100.0,N,AEO,N,Non-NASDAQ,AEO
Y,AEP,"American Electric Power Company, Inc. Common Stock",N, ,N,100.0,N,AEP,N,Non-NASDAQ,AEP
Y,AER,AerCap Holdings N.V. Ordinary Shares,N, ,N,100.0,N,AER,N,Non-NASDAQ,AER
Y,AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,AERI,N,NASDAQ - Normal,Not Reported
Y,AES,The AES Corporation Common Stock,N, ,N,100.0,N,AES,N,Non-NASDAQ,AES
Y,AESE,"Allied Esports Entertainment, Inc. - Common Stock",Q,S,N,100.0,N,AESE,N,NASDAQ - Normal,Not Reported
Y,AESR,Anfield U.S. Equity Sector Rotation ETF,Z, ,Y,100.0,N,AESR,N,Non-NASDAQ,AESR
Y,AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Q,G,N,100.0,N,AEY,N,NASDAQ - Normal,Not Reported
Y,AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,100.0,N,AEYE,N,NASDAQ - Normal,Not Reported
Y,AEZS,Aeterna Zentaris Inc. - Common Stock,Q,S,N,100.0,N,AEZS,N,NASDAQ - Normal,Not Reported
Y,AFB,AllianceBernstein National Municipal Income Fund Inc,N, ,N,100.0,N,AFB,N,Non-NASDAQ,AFB
Y,AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",N, ,N,100.0,N,AFC,N,Non-NASDAQ,AFC
Y,AFG,"American Financial Group, Inc. Common Stock",N, ,N,100.0,N,AFG,N,Non-NASDAQ,AFG
Y,AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N, ,N,100.0,N,AFGC,N,Non-NASDAQ,AFGC
Y,AFGH,"American Financial Group, Inc. 6% Subordinated Debentures due 2055",N, ,N,100.0,N,AFGH,N,Non-NASDAQ,AFGH
Y,AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares",Q,S,N,100.0,N,AFH,N,NASDAQ - Deficient & Delinquent,Not Reported
Y,AFI,"Armstrong Flooring, Inc. Common Stock",N, ,N,100.0,N,AFI,N,Non-NASDAQ,AFI
Y,AFIF,Anfield Universal Fixed Income ETF,Z, ,Y,100.0,N,AFIF,N,Non-NASDAQ,AFIF
Y,AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,Q,N,100.0,N,AFIN,N,NASDAQ - Normal,Not Reported
Y,AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,Q,N,100.0,N,AFINP,N,NASDAQ - Normal,Not Reported
Y,AFK,VanEck Vectors-Africa Index ETF,P, ,Y,100.0,N,AFK,N,Non-NASDAQ,AFK
Y,AFL,AFLAC Incorporated Common Stock,N, ,N,100.0,N,AFL,N,Non-NASDAQ,AFL
Y,AFLG,First Trust Active Factor Large Cap ETF,P, ,Y,100.0,N,AFLG,N,Non-NASDAQ,AFLG
Y,AFMC,First Trust Active Factor Mid Cap ETF,P, ,Y,100.0,N,AFMC,N,Non-NASDAQ,AFMC
Y,AFMD,Affimed N.V. - Common Stock,Q,G,N,100.0,N,AFMD,N,NASDAQ - Normal,Not Reported
Y,AFSM,First Trust Active Factor Small Cap ETF,P, ,Y,100.0,N,AFSM,N,Non-NASDAQ,AFSM
